s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
Time,"sortie niv -1 nord","sortie niv -2 nord","sortie niv -1 sud","sortie niv -2 sud","escalier 1.2","escalier 2.2","escalier 2.2","escalier 3.2","escalier 4.2","escalier 4.2","escalier 1.1","escalier 2.1","escalier 2.1","escalier 3.1","escalier 4.1","escalier 4.1"
 4.8615699E+001,-6.0486756E-002, 2.2333038E-002,-5.7507117E-002, 3.5511983E-002, 2.6939963E-001, 2.6375947E-001, 3.2348832E-002,-1.6781435E-001,-3.4202821E-001,-2.2625179E-001, 2.1872686E-001, 8.0076100E-001, 8.6411106E-002, 2.1081486E-001,-1.4130303E-001,-2.1638563E-001
 5.0455539E+001,-6.0042137E-002,-1.3227314E-002,-4.4987356E-002,-5.8032714E-002, 3.5675211E-001, 2.9895844E-001, 3.0603472E-002,-1.9553122E-001,-3.7315550E-001,-2.4744808E-001, 2.6900262E-001, 8.6156530E-001, 7.4863284E-002, 1.6980332E-001,-1.7017324E-001,-2.6572895E-001
 5.2227237E+001,-3.9587708E-002,-7.1733323E-002,-3.2231576E-002,-3.6452104E-002, 3.7144813E-001, 3.1959614E-001, 3.4327473E-002,-1.5507678E-001,-3.3039082E-001,-2.2906506E-001, 2.2636774E-001, 8.7768030E-001, 6.3408260E-002, 1.3656887E-001,-1.8512911E-001,-2.9225576E-001
 5.4067077E+001,-1.8777205E-002, 8.8479757E-003,-2.2474986E-002, 2.3698762E-002, 2.4687802E-001, 3.0819282E-001, 4.0581867E-002,-1.0997649E-001,-2.8503968E-001,-2.0883241E-001, 1.2263016E-001, 8.9898313E-001, 5.6618068E-002, 1.5934902E-001,-1.6487833E-001,-2.5444953E-001
 5.5838774E+001, 1.0030290E-003, 6.6958759E-002, 3.6962818E-003, 3.7410597E-003, 1.4088915E-001, 2.8092733E-001, 4.9104303E-002,-8.1125895E-002,-2.5481797E-001,-1.9377017E-001, 3.5183025E-002, 9.0923562E-001, 4.9929747E-002, 1.9531167E-001,-1.3025898E-001,-1.9128458E-001
 5.7610472E+001, 2.0634178E-002,-1.2516908E-002, 1.9186304E-002, 1.0884273E-003, 1.3096211E-001, 2.8779233E-001, 5.7045058E-002,-3.9449035E-002,-2.0812925E-001,-1.6798717E-001,-8.5630545E-003, 9.1411684E-001, 3.6044092E-002, 1.9320608E-001,-1.0980778E-001,-1.5553421E-001
 5.9450312E+001, 8.6447477E-003,-4.5394984E-002, 2.6176747E-003,-3.2100462E-003, 1.5855706E-001, 2.9880369E-001, 5.7756733E-002,-3.5547864E-002,-2.0160257E-001,-1.6424817E-001,-1.2576334E-002, 9.7941982E-001, 1.9564687E-002, 1.5440851E-001,-1.2344646E-001,-1.7923624E-001
 6.1222010E+001,-2.5067563E-002, 5.1941045E-003,-1.7253255E-002,-2.4279306E-002, 2.1343677E-001, 3.2041864E-001, 5.2797914E-002,-1.0355978E-001,-2.8456335E-001,-2.1173234E-001,-3.2837003E-003, 1.0529061E+000,-3.0655007E-003, 1.1923786E-001,-1.5546698E-001,-2.2948098E-001
 6.3061850E+001,-5.2030002E-002, 1.5842024E-002,-3.7987803E-002, 1.3023955E-002, 2.4487837E-001, 3.3298586E-001, 4.8281298E-002,-1.6403336E-001,-3.6072852E-001,-2.5386988E-001, 9.1519230E-003, 1.1078943E+000,-2.4607147E-002, 1.2296154E-001,-1.6963678E-001,-2.4617774E-001
 6.4833547E+001,-5.9525128E-002,-7.1434391E-003,-5.5708644E-002, 1.2945027E-002, 1.9162361E-001, 3.0514262E-001, 4.9609213E-002,-1.3764214E-001,-3.2600603E-001,-2.3267511E-001,-1.3208463E-002, 1.1473810E+000,-3.2448652E-002, 1.4341683E-001,-1.5878427E-001,-2.2561425E-001
 6.6605245E+001,-4.7063440E-002,-2.0730538E-002,-4.3116647E-002,-4.3456931E-002, 1.5767250E-001, 3.0127288E-001, 6.0474616E-002,-4.2921136E-002,-2.2473483E-001,-1.7721400E-001,-1.2566087E-001, 1.1127740E+000,-3.4700373E-002, 1.5175946E-001,-1.3632294E-001,-1.9083876E-001
 6.8445085E+001,-4.8678417E-002,-3.5413750E-002,-4.1219831E-002,-3.4791264E-002, 1.2011604E-001, 3.0335511E-001, 6.9172238E-002, 1.0324268E-002,-1.7019833E-001,-1.4939283E-001,-1.6643341E-001, 1.0918970E+000,-3.8469429E-002, 1.6298680E-001,-1.1544886E-001,-1.5780945E-001
 7.0216783E+001,-5.4551027E-002,-1.3948816E-002,-5.0087473E-002, 3.4701163E-003, 7.4549347E-002, 2.7615301E-001, 6.6649199E-002,-2.0755220E-002,-1.9984588E-001,-1.6711589E-001,-1.5174942E-001, 1.1323193E+000,-4.6366250E-002, 1.7345690E-001,-1.0668844E-001,-1.4209066E-001
 7.2056623E+001,-7.1708583E-002,-6.3829335E-003,-6.0770554E-002,-2.4377698E-002, 1.3693795E-001, 2.9336670E-001, 6.2213418E-002,-6.9927339E-002,-2.5858052E-001,-1.9918607E-001,-9.4077979E-002, 1.1921820E+000,-6.4385117E-002, 1.5057273E-001,-1.1918308E-001,-1.6280482E-001
 7.3828320E+001,-8.9099653E-002,-3.5089548E-002,-7.1962109E-002,-3.5283321E-002, 2.0426429E-001, 3.0203888E-001, 5.7245305E-002,-9.6012869E-002,-2.8988568E-001,-2.1376793E-001,-4.9213465E-002, 1.2621374E+000,-8.0527631E-002, 1.0050294E-001,-1.4498144E-001,-2.0693271E-001
 7.5600018E+001,-7.9334033E-002,-3.9118134E-002,-6.8665701E-002,-1.3736373E-002, 2.0911254E-001, 3.0156544E-001, 5.4641456E-002,-8.6978355E-002,-2.8455547E-001,-2.0891977E-001,-5.8096993E-002, 1.3067831E+000,-9.6484650E-002, 7.0063097E-002,-1.5650125E-001,-2.2588267E-001
 7.7439858E+001,-6.7002319E-002,-2.7604194E-003,-5.8301149E-002,-1.3433952E-002, 1.6060406E-001, 2.8053079E-001, 5.5880424E-002,-6.5945790E-002,-2.6158241E-001,-1.9511000E-001,-1.1777210E-001, 1.3298781E+000,-1.0244141E-001, 7.2508710E-002,-1.4329159E-001,-2.0137631E-001
 7.9211556E+001,-3.4421130E-002, 6.8200731E-003,-2.8257557E-002,-1.8393327E-003, 9.2563908E-002, 2.6696420E-001, 6.0365823E-002,-1.9525591E-002,-2.1319866E-001,-1.6766235E-001,-1.7757801E-001, 1.3288012E+000,-1.0706110E-001, 8.9072494E-002,-1.1664721E-001,-1.5512928E-001
 8.1051396E+001,-2.1079792E-002,-1.6073470E-002,-2.0244896E-002,-4.7787597E-003, 6.2249253E-002, 2.6103931E-001, 6.2216670E-002, 9.3239176E-003,-1.8120390E-001,-1.4936279E-001,-1.8621755E-001, 1.3625502E+000,-1.1514458E-001, 6.6509719E-002,-1.1151529E-001,-1.4934863E-001
 8.2823094E+001,-1.9881798E-002,-3.4573029E-003,-1.7265911E-002,-1.0851679E-002, 1.0091329E-001, 2.7532098E-001, 5.7318040E-002,-2.1697052E-002,-2.1867579E-001,-1.7041800E-001,-1.3871458E-001, 1.4116447E+000,-1.3495607E-001, 2.5738111E-002,-1.2882775E-001,-1.8128112E-001
 8.4662933E+001,-4.9199232E-002, 2.9547614E-004,-4.0032778E-002, 2.2308912E-003, 1.3855761E-001, 2.8776385E-001, 4.9811310E-002,-7.6062517E-002,-2.7681273E-001,-2.0324825E-001,-3.4274205E-002, 1.4382588E+000,-1.4813007E-001, 9.8886652E-003,-1.4565743E-001,-2.0834955E-001
 8.6434631E+001,-6.0670766E-002,-1.0558600E-002,-5.2654946E-002,-1.3861227E-002, 1.2458383E-001, 2.8897259E-001, 4.9101369E-002,-5.7716690E-002,-2.5901140E-001,-1.9304559E-001, 3.2237600E-002, 1.4075073E+000,-1.5361475E-001, 8.0135859E-003,-1.4748437E-001,-2.1029942E-001
 8.8206329E+001,-6.5379472E-002,-9.6108594E-003,-5.7783408E-002,-2.0280477E-002, 9.6915330E-002, 3.0040652E-001, 5.5759451E-002, 4.1285653E-003,-2.0190595E-001,-1.5970387E-001, 1.8973977E-002, 1.3534574E+000,-1.5239606E-001, 8.1252383E-003,-1.3472991E-001,-1.9175608E-001
 9.0046169E+001,-7.0211193E-002,-1.5078196E-002,-6.1576249E-002,-1.1055992E-002, 5.2306088E-002, 2.7916242E-001, 5.7154443E-002, 2.5095976E-002,-1.7395185E-001,-1.4118607E-001, 2.3724369E-002, 1.3301639E+000,-1.4736885E-001, 2.2239445E-002,-1.1518917E-001,-1.6159901E-001
 9.1817867E+001,-7.1454522E-002,-2.3850104E-002,-6.2628401E-002,-2.1922573E-002, 7.1961089E-002, 2.7043973E-001, 5.3623812E-002, 1.9479433E-003,-1.9895566E-001,-1.5192524E-001, 8.1222524E-002, 1.3144149E+000,-1.4892907E-001, 3.1297242E-002,-1.1071042E-001,-1.5743956E-001
 9.3657707E+001,-8.7469044E-002,-3.0410184E-002,-7.2726141E-002,-2.3585326E-002, 1.2893731E-001, 2.8077132E-001, 4.6376087E-002,-4.1168212E-002,-2.4863061E-001,-1.7687275E-001, 1.9410356E-001, 1.3029075E+000,-1.4822746E-001, 1.8202318E-002,-1.3215849E-001,-1.9800640E-001
 9.5429404E+001,-8.9314010E-002,-1.7531631E-002,-7.4554591E-002,-1.5019253E-002, 1.3762456E-001, 2.6802846E-001, 3.9255239E-002,-6.7821025E-002,-2.7541880E-001,-1.9075784E-001, 2.5354575E-001, 1.2976763E+000,-1.4243426E-001, 1.0643350E-002,-1.4543845E-001,-2.2144871E-001
 9.7201102E+001,-7.9143387E-002,-8.6260170E-003,-6.8041813E-002,-1.4457124E-002, 1.3932789E-001, 2.7689222E-001, 4.1640036E-002,-4.4580068E-002,-2.5716049E-001,-1.8107147E-001, 2.3115345E-001, 1.3305393E+000,-1.4110651E-001, 2.8328419E-004,-1.4207901E-001,-2.1828121E-001
 9.9040942E+001,-6.1560996E-002,-1.4510265E-002,-5.4468253E-002,-1.5554964E-002, 7.1056287E-002, 2.5181401E-001, 4.6062652E-002,-5.1567523E-003,-2.1096725E-001,-1.5485911E-001, 1.7758143E-001, 1.3969051E+000,-1.4441869E-001,-1.2755297E-002,-1.3287035E-001,-2.0745633E-001
 1.0081264E+002,-5.4853109E-002,-9.8927596E-003,-4.9513035E-002,-1.3249959E-002, 6.9473263E-002, 2.6111814E-001, 4.9932456E-002, 1.7549995E-002,-1.9055292E-001,-1.4347095E-001, 1.4564365E-001, 1.3771330E+000,-1.5607991E-001,-1.0706543E-002,-1.2533469E-001,-1.9977003E-001
 1.0265248E+002,-7.0929624E-002,-1.5508934E-002,-5.9399892E-002,-1.3918871E-002, 7.9171322E-002, 2.6175703E-001, 4.5843566E-002,-1.4225332E-002,-2.2544015E-001,-1.6227308E-001, 2.2368898E-001, 1.3625451E+000,-1.7452357E-001, 1.7247988E-003,-1.3659984E-001,-2.2359977E-001
 1.0442418E+002,-9.3255499E-002,-2.7212642E-002,-7.7598097E-002,-1.9169128E-002, 1.1965209E-001, 2.7147702E-001, 4.2213708E-002,-4.0251233E-002,-2.5749335E-001,-1.8114638E-001, 2.8631166E-001, 1.3799514E+000,-1.8929061E-001, 5.3944826E-004,-1.5297833E-001,-2.5367919E-001
