s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.9142343E+002, 1.6240151E+003,-5.5880288E+002,-2.0525797E+002,-6.0746966E+002,-1.9516596E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3585962E+002, 2.5228941E+002, 3.4384891E-002, 3.4384891E-002
 4.9320355E+002, 1.6065416E+003,-5.6197781E+002,-1.8734145E+002,-6.1069094E+002,-1.9698229E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2727307E+002, 2.4633443E+002, 3.4636233E-002, 3.4636233E-002
 4.9501736E+002, 1.6222084E+003,-5.6130433E+002,-1.9740264E+002,-6.1184218E+002,-1.9774668E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3036845E+002, 2.5146152E+002, 3.4889481E-002, 3.4889481E-002
 4.9680353E+002, 1.6432913E+003,-5.7277848E+002,-2.0024649E+002,-6.1763616E+002,-1.9927357E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3020007E+002, 2.5243091E+002, 3.5144174E-002, 3.5144174E-002
 4.9860516E+002, 1.6620723E+003,-5.7895825E+002,-2.1735431E+002,-6.2151183E+002,-2.0085737E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2798026E+002, 2.4404709E+002, 3.5398923E-002, 3.5398923E-002
 5.0041312E+002, 1.6656031E+003,-5.8926181E+002,-2.1947112E+002,-6.3088879E+002,-2.0182030E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0956114E+002, 2.2577960E+002, 3.5655995E-002, 3.5655995E-002
 5.0220499E+002, 1.6757697E+003,-5.9162355E+002,-2.0129085E+002,-6.3012647E+002,-2.0322333E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2728285E+002, 2.5252560E+002, 3.5913352E-002, 3.5913352E-002
 5.0401691E+002, 1.6906549E+003,-5.9180140E+002,-2.2990874E+002,-6.3273324E+002,-2.0495043E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1851230E+002, 2.3600658E+002, 3.6172082E-002, 3.6172082E-002
 5.0580188E+002, 1.6950226E+003,-6.0552873E+002,-1.9557056E+002,-6.4353904E+002,-2.0687973E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3114369E+002, 2.5017735E+002, 3.6431144E-002, 3.6431144E-002
 5.0762222E+002, 1.7138223E+003,-6.0610253E+002,-2.3031538E+002,-6.4239590E+002,-2.0817190E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1748213E+002, 2.3480031E+002, 3.6691725E-002, 3.6691725E-002
 5.0941217E+002, 1.7168573E+003,-6.1415995E+002,-2.1833067E+002,-6.4505072E+002,-2.0929659E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1892886E+002, 2.3910668E+002, 3.6953607E-002, 3.6953607E-002
 5.1120178E+002, 1.7329481E+003,-6.3196985E+002,-2.3101873E+002,-6.4755787E+002,-2.1067024E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0643672E+002, 2.2219095E+002, 3.7214178E-002, 3.7214178E-002
 5.1300922E+002, 1.7446300E+003,-6.2691985E+002,-2.3185114E+002,-6.5765076E+002,-2.1199355E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0835911E+002, 2.2799629E+002, 3.7476873E-002, 3.7476873E-002
 5.1481580E+002, 1.7553980E+003,-6.3740990E+002,-2.4352563E+002,-6.6785388E+002,-2.1345991E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8995058E+002, 2.0639513E+002, 3.7741859E-002, 3.7741859E-002
 5.1660980E+002, 1.7833230E+003,-6.4158063E+002,-2.1283330E+002,-6.7147655E+002,-2.1477745E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4251770E+002, 2.5721778E+002, 3.8006697E-002, 3.8006697E-002
 5.1842377E+002, 1.7820651E+003,-6.4592681E+002,-2.4947495E+002,-6.7595171E+002,-2.1672475E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9229651E+002, 2.1049490E+002, 3.8273111E-002, 3.8273111E-002
 5.2021381E+002, 1.7701662E+003,-6.4530069E+002,-2.2968813E+002,-6.7823890E+002,-2.1719943E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9662193E+002, 2.1672132E+002, 3.8540040E-002, 3.8540040E-002
 5.2201233E+002, 1.8136356E+003,-6.7109287E+002,-2.3727970E+002,-6.7430779E+002,-2.1823700E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1511948E+002, 2.3073704E+002, 3.8806798E-002, 3.8806798E-002
 5.2380597E+002, 1.8374773E+003,-6.7514763E+002,-2.5391510E+002,-6.8173374E+002,-2.2018241E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1086664E+002, 2.2646063E+002, 3.9074839E-002, 3.9074839E-002
 5.2560077E+002, 1.8193403E+003,-6.8057601E+002,-2.5237736E+002,-6.8892699E+002,-2.2173670E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7864073E+002, 1.9723823E+002, 3.9343414E-002, 3.9343414E-002
 5.2740576E+002, 1.8491127E+003,-6.8656258E+002,-2.5862139E+002,-6.9694856E+002,-2.2299534E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8249339E+002, 2.0675719E+002, 3.9613695E-002, 3.9613695E-002
 5.2920911E+002, 1.8705438E+003,-6.8985908E+002,-2.5957999E+002,-6.9819191E+002,-2.2538485E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0779892E+002, 2.2268742E+002, 3.9885644E-002, 3.9885644E-002
 5.3101624E+002, 1.8686508E+003,-6.8554147E+002,-2.4536010E+002,-7.0487365E+002,-2.2537780E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0911141E+002, 2.3265017E+002, 4.0158669E-002, 4.0158669E-002
 5.3281860E+002, 1.8788104E+003,-6.8699569E+002,-2.5204556E+002,-7.0496434E+002,-2.2755177E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1809409E+002, 2.3457725E+002, 4.0432645E-002, 4.0432645E-002
 5.3461505E+002, 1.8866607E+003,-6.9698690E+002,-2.6123146E+002,-7.0562275E+002,-2.2882329E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0306617E+002, 2.2259078E+002, 4.0706655E-002, 4.0706655E-002
 5.3641577E+002, 1.9465606E+003,-7.1457937E+002,-2.5859738E+002,-7.1240131E+002,-2.3109818E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4384398E+002, 2.6075141E+002, 4.0981453E-002, 4.0981453E-002
 5.3820062E+002, 1.9258900E+003,-7.1381098E+002,-2.6913703E+002,-7.2267328E+002,-2.3175284E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0334792E+002, 2.2003693E+002, 4.1256305E-002, 4.1256305E-002
 5.4002148E+002, 1.9231069E+003,-7.2643365E+002,-2.6164850E+002,-7.2737092E+002,-2.3332652E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9411906E+002, 2.0742047E+002, 4.1533606E-002, 4.1533606E-002
 5.4181787E+002, 1.9335742E+003,-7.3670175E+002,-2.8821341E+002,-7.2843629E+002,-2.3566212E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6780649E+002, 1.7998706E+002, 4.1812709E-002, 4.1812709E-002
 5.4360095E+002, 1.9271557E+003,-7.3297700E+002,-2.5813904E+002,-7.3165616E+002,-2.3639152E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9184614E+002, 2.0414706E+002, 4.2089873E-002, 4.2089873E-002
 5.4541583E+002, 1.9845479E+003,-7.5680690E+002,-2.5340008E+002,-7.5099189E+002,-2.3827514E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1271719E+002, 2.2311077E+002, 4.2369340E-002, 4.2369340E-002
 5.4721747E+002, 1.9648640E+003,-7.3817726E+002,-3.0406884E+002,-7.3892980E+002,-2.4003737E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7293316E+002, 1.8344810E+002, 4.2651301E-002, 4.2651301E-002
 5.4900824E+002, 1.9666722E+003,-7.4083316E+002,-2.7184206E+002,-7.3655433E+002,-2.4092338E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0574793E+002, 2.1720176E+002, 4.2932142E-002, 4.2932142E-002
 5.5081000E+002, 2.0422071E+003,-7.7179715E+002,-2.8055197E+002,-7.4226189E+002,-2.4200272E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2824037E+002, 2.4735414E+002, 4.3213946E-002, 4.3213946E-002
 5.5261353E+002, 1.9848900E+003,-7.7204113E+002,-2.9306488E+002,-7.5098886E+002,-2.4395586E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5699020E+002, 1.6855116E+002, 4.3497755E-002, 4.3497755E-002
 5.5441852E+002, 2.0167770E+003,-7.6821543E+002,-3.1524143E+002,-7.5884780E+002,-2.4504563E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6260313E+002, 1.7422729E+002, 4.3782748E-002, 4.3782748E-002
 5.5621826E+002, 2.0331537E+003,-7.9017797E+002,-2.6392697E+002,-7.5789024E+002,-2.4735913E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0996682E+002, 2.2091113E+002, 4.4068204E-002, 4.4068204E-002
 5.5801318E+002, 2.0488713E+003,-7.7815895E+002,-3.1255174E+002,-7.5225199E+002,-2.4842232E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9203811E+002, 2.0566022E+002, 4.4354003E-002, 4.4354003E-002
 5.5980402E+002, 2.0917115E+003,-8.1184517E+002,-2.7524662E+002,-7.6308939E+002,-2.5012599E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2766033E+002, 2.4128020E+002, 4.4639879E-002, 4.4639879E-002
 5.6161841E+002, 2.0800088E+003,-8.0750353E+002,-2.8411591E+002,-7.7078999E+002,-2.5207162E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0904555E+002, 2.1734724E+002, 4.4928371E-002, 4.4928371E-002
 5.6341650E+002, 2.0426915E+003,-8.1164759E+002,-3.0325598E+002,-7.7665650E+002,-2.5276600E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3547162E+002, 1.5087862E+002, 4.5218261E-002, 4.5218261E-002
 5.6520032E+002, 2.0974196E+003,-8.2772720E+002,-3.0587483E+002,-7.8289849E+002,-2.5391494E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6913849E+002, 1.8066516E+002, 4.5506646E-002, 4.5506646E-002
